Dataset PT, CPU Sec/Epoch 11.050, Normalized GPU throughput 31.84, Normalized GNNear throughput 95.85
Dataset RD, CPU Sec/Epoch 7.730, Normalized GPU throughput 10.17, Normalized GNNear throughput 18.82
Dataset YP, CPU Sec/Epoch 6.957, Normalized GPU throughput 21.08, Normalized GNNear throughput 32.47
Dataset AM, CPU Sec/Epoch 0.734, Normalized GPU throughput 0.34, Normalized GNNear throughput 0.79
Dataset PT, CPU Sec/Epoch 11.050, Normalized GPU throughput 31.84, Normalized GNNear throughput 95.85
Dataset RD, CPU Sec/Epoch 7.730, Normalized GPU throughput 10.17, Normalized GNNear throughput 18.82
Dataset YP, CPU Sec/Epoch 6.957, Normalized GPU throughput 21.08, Normalized GNNear throughput 32.47
Dataset AM, CPU Sec/Epoch 18.240, Normalized GPU throughput 8.34, Normalized GNNear throughput 19.57
Dataset PT, CPU Sec/Epoch 11.050, Normalized GPU throughput 31.84, Normalized GNNear throughput 95.85
Dataset RD, CPU Sec/Epoch 7.730, Normalized GPU throughput 10.17, Normalized GNNear throughput 18.82
Dataset YP, CPU Sec/Epoch 6.957, Normalized GPU throughput 21.08, Normalized GNNear throughput 32.47
Dataset AM, CPU Sec/Epoch 18.240, Normalized GPU throughput 8.34, Normalized GNNear throughput 19.57
Dataset PT, CPU Sec/Epoch 11.050, Normalized GPU throughput 31.57, Normalized GNNear throughput 95.85
Dataset RD, CPU Sec/Epoch 7.730, Normalized GPU throughput 10.17, Normalized GNNear throughput 18.82
Dataset YP, CPU Sec/Epoch 6.960, Normalized GPU throughput 21.09, Normalized GNNear throughput 32.49
Dataset AM, CPU Sec/Epoch 18.240, Normalized GPU throughput 8.34, Normalized GNNear throughput 19.57
Dataset PT, CPU Sec/Epoch 11.050, Normalized GPU throughput 31.57, Normalized GNNear throughput 95.85
Dataset RD, CPU Sec/Epoch 7.730, Normalized GPU throughput 10.17, Normalized GNNear throughput 18.82
Dataset YP, CPU Sec/Epoch 6.960, Normalized GPU throughput 21.09, Normalized GNNear throughput 32.49
Dataset AM, CPU Sec/Epoch 18.240, Normalized GPU throughput 8.34, Normalized GNNear throughput 19.57
Dataset PT, CPU Sec/Epoch 11.050, Normalized GPU throughput 31.57, Normalized GNNear throughput 95.85
Dataset RD, CPU Sec/Epoch 7.730, Normalized GPU throughput 10.17, Normalized GNNear throughput 18.82
Dataset YP, CPU Sec/Epoch 6.960, Normalized GPU throughput 21.09, Normalized GNNear throughput 32.49
Dataset AM, CPU Sec/Epoch 18.240, Normalized GPU throughput 8.34, Normalized GNNear throughput 19.57
