Dataset PT, CPU Sec/Epoch 10.177, Normalized GPU throughput 13.75, Normalized GNNear throughput 88.28
Dataset RD, CPU Sec/Epoch 16.000, Normalized GPU throughput 11.51, Normalized GNNear throughput 38.95
Dataset YP, CPU Sec/Epoch 5.448, Normalized GPU throughput 13.59, Normalized GNNear throughput 25.43
Dataset AM, CPU Sec/Epoch 58.000, Normalized GPU throughput 17.90, Normalized GNNear throughput 62.22
Dataset PT, CPU Sec/Epoch 10.177, Normalized GPU throughput 13.75, Normalized GNNear throughput 88.28
Dataset RD, CPU Sec/Epoch 16.000, Normalized GPU throughput 11.51, Normalized GNNear throughput 38.95
Dataset YP, CPU Sec/Epoch 5.448, Normalized GPU throughput 13.59, Normalized GNNear throughput 25.43
Dataset AM, CPU Sec/Epoch 58.000, Normalized GPU throughput 17.90, Normalized GNNear throughput 62.22
Dataset PT, CPU Sec/Epoch 10.177, Normalized GPU throughput 13.75, Normalized GNNear throughput 88.28
Dataset RD, CPU Sec/Epoch 16.000, Normalized GPU throughput 11.51, Normalized GNNear throughput 38.95
Dataset YP, CPU Sec/Epoch 5.448, Normalized GPU throughput 13.59, Normalized GNNear throughput 25.43
Dataset AM, CPU Sec/Epoch 58.000, Normalized GPU throughput 17.90, Normalized GNNear throughput 62.22
Dataset PT, CPU Sec/Epoch 10.180, Normalized GPU throughput 13.76, Normalized GNNear throughput 88.31
Dataset RD, CPU Sec/Epoch 16.000, Normalized GPU throughput 11.51, Normalized GNNear throughput 38.95
Dataset YP, CPU Sec/Epoch 5.450, Normalized GPU throughput 13.62, Normalized GNNear throughput 25.44
Dataset AM, CPU Sec/Epoch 58.000, Normalized GPU throughput 17.90, Normalized GNNear throughput 62.22
Dataset PT, CPU Sec/Epoch 10.180, Normalized GPU throughput 13.76, Normalized GNNear throughput 88.31
Dataset RD, CPU Sec/Epoch 16.000, Normalized GPU throughput 11.51, Normalized GNNear throughput 38.95
Dataset YP, CPU Sec/Epoch 5.450, Normalized GPU throughput 13.62, Normalized GNNear throughput 25.44
Dataset AM, CPU Sec/Epoch 58.000, Normalized GPU throughput 17.90, Normalized GNNear throughput 62.22
Dataset PT, CPU Sec/Epoch 10.180, Normalized GPU throughput 13.76, Normalized GNNear throughput 88.31
Dataset RD, CPU Sec/Epoch 16.000, Normalized GPU throughput 11.51, Normalized GNNear throughput 38.95
Dataset YP, CPU Sec/Epoch 5.450, Normalized GPU throughput 13.62, Normalized GNNear throughput 25.44
Dataset AM, CPU Sec/Epoch 58.000, Normalized GPU throughput 17.90, Normalized GNNear throughput 62.22
