Dataset PT, CPU Sec/Epoch 1.431, Normalized GPU throughput 4.50, Normalized GNNear throughput 12.41
Dataset RD, CPU Sec/Epoch 7.360, Normalized GPU throughput 9.95, Normalized GNNear throughput 17.92
Dataset YP, CPU Sec/Epoch 3.229, Normalized GPU throughput 10.91, Normalized GNNear throughput 15.07
Dataset AM, CPU Sec/Epoch 17.990, Normalized GPU throughput 8.49, Normalized GNNear throughput 19.30
Dataset PT, CPU Sec/Epoch 1.431, Normalized GPU throughput 4.50, Normalized GNNear throughput 12.41
Dataset RD, CPU Sec/Epoch 7.360, Normalized GPU throughput 9.95, Normalized GNNear throughput 17.92
Dataset YP, CPU Sec/Epoch 3.229, Normalized GPU throughput 10.91, Normalized GNNear throughput 15.07
Dataset AM, CPU Sec/Epoch 17.990, Normalized GPU throughput 8.49, Normalized GNNear throughput 19.30
Dataset PT, CPU Sec/Epoch 1.431, Normalized GPU throughput 4.50, Normalized GNNear throughput 12.41
Dataset RD, CPU Sec/Epoch 7.360, Normalized GPU throughput 9.95, Normalized GNNear throughput 17.92
Dataset YP, CPU Sec/Epoch 3.229, Normalized GPU throughput 10.91, Normalized GNNear throughput 15.07
Dataset AM, CPU Sec/Epoch 17.990, Normalized GPU throughput 8.49, Normalized GNNear throughput 19.30
Dataset PT, CPU Sec/Epoch 1.430, Normalized GPU throughput 4.47, Normalized GNNear throughput 12.40
Dataset RD, CPU Sec/Epoch 7.360, Normalized GPU throughput 9.95, Normalized GNNear throughput 17.92
Dataset YP, CPU Sec/Epoch 3.230, Normalized GPU throughput 10.77, Normalized GNNear throughput 15.08
Dataset AM, CPU Sec/Epoch 17.990, Normalized GPU throughput 8.49, Normalized GNNear throughput 19.30
Dataset PT, CPU Sec/Epoch 1.430, Normalized GPU throughput 4.47, Normalized GNNear throughput 12.40
Dataset RD, CPU Sec/Epoch 7.360, Normalized GPU throughput 9.95, Normalized GNNear throughput 17.92
Dataset YP, CPU Sec/Epoch 3.230, Normalized GPU throughput 10.77, Normalized GNNear throughput 15.08
Dataset AM, CPU Sec/Epoch 17.990, Normalized GPU throughput 8.49, Normalized GNNear throughput 19.30
Dataset PT, CPU Sec/Epoch 1.430, Normalized GPU throughput 4.47, Normalized GNNear throughput 12.40
Dataset RD, CPU Sec/Epoch 7.360, Normalized GPU throughput 9.95, Normalized GNNear throughput 17.92
Dataset YP, CPU Sec/Epoch 3.230, Normalized GPU throughput 10.77, Normalized GNNear throughput 15.08
Dataset AM, CPU Sec/Epoch 17.990, Normalized GPU throughput 8.49, Normalized GNNear throughput 19.30
