Dataset PT, CPU Sec/Epoch 5.358, Normalized GPU throughput 14.10, Normalized GNNear throughput 46.48
Dataset RD, CPU Sec/Epoch 10.500, Normalized GPU throughput 10.00, Normalized GNNear throughput 25.56
Dataset YP, CPU Sec/Epoch 5.745, Normalized GPU throughput 16.22, Normalized GNNear throughput 26.82
Dataset AM, CPU Sec/Epoch 35.000, Normalized GPU throughput 35.00, Normalized GNNear throughput 37.55
Dataset PT, CPU Sec/Epoch 5.358, Normalized GPU throughput 14.10, Normalized GNNear throughput 46.48
Dataset RD, CPU Sec/Epoch 10.500, Normalized GPU throughput 10.00, Normalized GNNear throughput 25.56
Dataset YP, CPU Sec/Epoch 5.745, Normalized GPU throughput 16.22, Normalized GNNear throughput 26.82
Dataset AM, CPU Sec/Epoch 35.000, Normalized GPU throughput --- (OOM), Normalized GNNear throughput 37.55
Dataset PT, CPU Sec/Epoch 5.358, Normalized GPU throughput 14.10, Normalized GNNear throughput 46.48
Dataset RD, CPU Sec/Epoch 10.500, Normalized GPU throughput 10.00, Normalized GNNear throughput 25.56
Dataset YP, CPU Sec/Epoch 5.745, Normalized GPU throughput 16.22, Normalized GNNear throughput 26.82
Dataset AM, CPU Sec/Epoch 35.000, Normalized GPU throughput --- (OOM), Normalized GNNear throughput 37.55
Dataset PT, CPU Sec/Epoch 5.360, Normalized GPU throughput 14.11, Normalized GNNear throughput 55.83
Dataset RD, CPU Sec/Epoch 10.500, Normalized GPU throughput 10.00, Normalized GNNear throughput 25.75
Dataset YP, CPU Sec/Epoch 5.750, Normalized GPU throughput 16.43, Normalized GNNear throughput 26.84
Dataset AM, CPU Sec/Epoch 35.000, Normalized GPU throughput --- (OOM), Normalized GNNear throughput 37.55
Dataset PT, CPU Sec/Epoch 5.360, Normalized GPU throughput 14.11, Normalized GNNear throughput 55.83
Dataset RD, CPU Sec/Epoch 10.500, Normalized GPU throughput 10.00, Normalized GNNear throughput 25.75
Dataset YP, CPU Sec/Epoch 5.750, Normalized GPU throughput 16.43, Normalized GNNear throughput 26.84
Dataset AM, CPU Sec/Epoch 35.000, Normalized GPU throughput --- (OOM), Normalized GNNear throughput 37.55
Dataset PT, CPU Sec/Epoch 5.360, Normalized GPU throughput 14.11, Normalized GNNear throughput 55.83
Dataset RD, CPU Sec/Epoch 10.500, Normalized GPU throughput 10.00, Normalized GNNear throughput 25.75
Dataset YP, CPU Sec/Epoch 5.750, Normalized GPU throughput 16.43, Normalized GNNear throughput 26.84
Dataset AM, CPU Sec/Epoch 35.000, Normalized GPU throughput --- (OOM), Normalized GNNear throughput 37.55
